id,study_card,stage
568,NaN,1
2690,NaN,2
2704,10.0,1
2706,NaN,1
2708,NaN,2
2710,NaN,2
2716,NaN,3
2718,NaN,2
2720,NaN,2
2724,10.0,3
2738,NaN,1
2740,NaN,2
2744,NaN,1
2746,NaN,1
2750,NaN,1
2760,NaN,3
2762,NaN,3
2774,15.0,1
2778,10.0,2
2780,NaN,3
2784,10.0,1
2786,NaN,1
2790,NaN,1
2794,NaN,1
2796,NaN,2
2800,NaN,1
2806,NaN,2
2808,NaN,3
2810,NaN,2
2814,NaN,1
2820,NaN,1
2824,Subsidized Annual Pass,3
2826,NaN,1
2830,NaN,2
2832,NaN,1
2834,NaN,1
2842,NaN,1
2844,NaN,2
2850,NaN,1
2856,NaN,1
2868,10.0,3
2872,NaN,1
2874,NaN,1
2876,NaN,4
2878,Subsidized Annual Pass,1
2880,NaN,1
2896,NaN,3
2898,Subsidized Annual Pass,2
2902,Subsidized Annual Pass,2
2904,NaN,1
2910,Subsidized Annual Pass,1
2918,NaN,2
2924,NaN,3
2934,NaN,2
2936,15.0,1
2938,NaN,3
2940,NaN,1
2942,NaN,1
2956,NaN,1
2974,NaN,1
2976,NaN,2
2978,NaN,1
2986,NaN,3
2998,NaN,1
3002,NaN,2
3006,NaN,1
3008,10.0,1
3014,NaN,1
3018,NaN,2
3020,NaN,1
3022,NaN,3
3030,NaN,5
3038,NaN,1
3040,NaN,2
3046,Subsidized Annual Pass,1
3048,NaN,1
3052,NaN,3
3058,NaN,2
3060,NaN,3
3062,NaN,1
3064,NaN,2
3068,NaN,1
3082,NaN,1
3102,NaN,6
3114,NaN,1
3116,15.0,1
3144,NaN,2
3148,NaN,2
3150,NaN,1
3152,NaN,1
3154,NaN,3
3162,NaN,1
3170,10.0,1
3172,NaN,3
3176,NaN,1
3180,NaN,1
3186,NaN,4
3192,NaN,2
3198,NaN,1
3200,NaN,1
3202,NaN,4
3210,NaN,2
3212,NaN,3
3220,NaN,2
3222,NaN,1
3226,NaN,1
3228,10.0,1
3232,NaN,1
3234,NaN,2
3236,NaN,1
3244,NaN,1
3250,NaN,1
3256,NaN,3
3260,NaN,1
3268,NaN,2
3272,NaN,3
3274,NaN,1
3280,NaN,3
3284,NaN,2
3298,NaN,2
3308,NaN,1
3310,NaN,1
3320,NaN,1
3330,NaN,1
3334,10.0,4
3336,NaN,1
3346,NaN,1
3348,Subsidized Annual Pass,1
3352,NaN,2
3358,NaN,4
3362,NaN,2
3366,NaN,2
3368,NaN,2
3372,NaN,2
3376,NaN,2
3394,NaN,3
3396,NaN,2
3408,NaN,4
3410,NaN,1
3414,NaN,3
3416,NaN,3
3420,15.0,2
3430,NaN,1
3432,15.0,1
3434,10.0,1
3444,NaN,2
3448,NaN,1
3450,NaN,1
3456,NaN,2
3464,NaN,3
3470,10.0,1
3484,15.0,3
3486,NaN,1
3488,NaN,1
3490,NaN,2
3496,15.0,1
3504,10.0,2
3512,NaN,2
3518,10.0,1
3520,NaN,3
3526,NaN,2
3528,NaN,3
3540,NaN,3
3552,NaN,2
3556,NaN,2
3560,NaN,3
3564,NaN,1
3566,NaN,1
3568,NaN,1
3582,NaN,1
3584,NaN,3
3588,NaN,1
3590,NaN,1
3592,NaN,2
3598,NaN,2
3602,10.0,3
3604,NaN,1
3606,NaN,2
3608,NaN,2
3620,NaN,1
3630,NaN,2
3644,NaN,1
3646,NaN,2
3654,NaN,1
3658,NaN,2
3662,NaN,1
3666,NaN,2
3668,NaN,1
3670,NaN,2
3674,NaN,2
3682,NaN,1
3686,NaN,3
3692,NaN,1
3702,NaN,2
3708,NaN,1
3710,NaN,1
3716,NaN,2
3720,NaN,1
3726,NaN,1
3730,NaN,3
3738,NaN,1
3742,NaN,1
3746,NaN,3
3748,NaN,3
3750,NaN,2
3756,15.0,1
3758,NaN,2
3760,NaN,1
3762,NaN,1
3768,NaN,2
3776,NaN,3
3786,NaN,1
3806,NaN,1
3820,NaN,1
3822,15.0,1
3828,NaN,1
3832,Subsidized Annual Pass,1
3844,NaN,1
3860,NaN,2
3870,NaN,3
3876,NaN,1
3880,NaN,3
3882,NaN,1
3888,NaN,1
3890,NaN,1
3892,NaN,1
3902,NaN,2
3904,NaN,2
3922,NaN,1
3924,NaN,1
3936,NaN,1
3938,15.0,2
3940,10.0,1
3942,NaN,3
3944,NaN,1
3946,NaN,3
3948,10.0,3
3954,NaN,1
3956,NaN,2
3958,NaN,1
3960,NaN,1
3964,NaN,4
3966,NaN,1
3970,NaN,2
3972,NaN,1
3976,NaN,1
3980,NaN,2
3982,NaN,3
3986,NaN,1
3996,NaN,2
4002,NaN,2
4006,NaN,1
4010,NaN,2
4014,NaN,1
4016,NaN,1
4018,NaN,3
4030,NaN,1
4032,NaN,1
4034,NaN,2
4036,NaN,1
4038,NaN,2
4042,NaN,1
4044,NaN,1
4046,10.0,1
4050,NaN,1
4056,NaN,1
4060,NaN,2
4064,NaN,1
4070,15.0,1
4082,NaN,2
4084,NaN,1
4092,NaN,2
4096,NaN,2
4098,NaN,1
4102,NaN,2
4112,NaN,2
4128,NaN,3
4132,NaN,1
4140,NaN,1
4152,NaN,3
4154,NaN,1
4156,NaN,1
4162,NaN,1
4168,NaN,3
4170,NaN,3
4174,NaN,1
4182,NaN,1
4186,15.0,2
4188,NaN,2
4190,NaN,2
4192,NaN,1
4194,NaN,3
4198,NaN,2
4200,NaN,2
4202,NaN,3
4204,10.0,1
4206,NaN,3
4208,15.0,1
4216,NaN,1
4218,NaN,3
4222,10.0,1
4224,15.0,1
4228,NaN,1
4232,NaN,1
4242,NaN,3
4246,NaN,3
4248,NaN,1
4256,NaN,1
4264,10.0,1
4266,NaN,2
4268,NaN,2
4270,NaN,1
4272,NaN,3
4280,NaN,1
4282,10.0,1
4286,NaN,1
4292,NaN,3
4296,NaN,1
4298,NaN,1
4300,NaN,1
4302,15.0,1
4316,NaN,2
4318,NaN,1
4320,NaN,1
4324,NaN,2
4326,NaN,2
4328,NaN,1
4336,10.0,3
4340,NaN,1
4348,NaN,1
4350,NaN,2
4370,NaN,2
4374,10.0,2
4384,NaN,1
4394,NaN,2
4396,NaN,1
4408,NaN,1
4410,NaN,1
4414,NaN,2
4420,NaN,1
4424,NaN,3
4428,NaN,2
4436,NaN,1
4438,NaN,1
4440,NaN,2
4442,10.0,2
4452,NaN,3
4454,NaN,1
4456,NaN,3
4458,NaN,3
4460,NaN,1
4470,NaN,1
4474,NaN,1
4476,NaN,1
4482,NaN,2
4488,10.0,1
4490,NaN,1
4500,NaN,1
4504,10.0,1
4508,NaN,1
4510,NaN,1
4518,NaN,1
4520,NaN,1
4528,NaN,1
4530,NaN,3
4550,15.0,1
4552,NaN,3
4556,NaN,2
4566,10.0,1
4568,10.0,1
4570,NaN,1
4578,NaN,2
4582,NaN,1
4590,NaN,1
4594,NaN,1
4596,NaN,1
4600,NaN,1
4606,NaN,1
4612,NaN,2
4614,NaN,2
4618,NaN,1
4626,NaN,1
4634,NaN,1
4636,NaN,3
4642,NaN,1
4650,NaN,2
4652,NaN,2
4654,NaN,1
4656,NaN,1
4658,NaN,2
4662,Subsidized Annual Pass,2
4664,NaN,1
4668,NaN,1
4670,NaN,1
4682,NaN,1
4690,NaN,2
4698,NaN,2
4702,NaN,2
4704,NaN,5
4714,NaN,2
4718,Subsidized Annual Pass,2
4734,20.0,1
4736,NaN,2
4744,NaN,1
4748,NaN,1
4756,NaN,1
4764,NaN,1
4768,NaN,1
4770,NaN,1
4772,NaN,1
4778,NaN,1
4784,NaN,2
4786,NaN,2
4790,NaN,3
4800,NaN,2
4806,NaN,3
4808,NaN,3
4820,NaN,3
4822,NaN,1
4824,NaN,1
4826,15.0,1
4828,NaN,2
4830,NaN,1
4832,NaN,1
4834,NaN,2
4836,NaN,1
4844,10.0,1
4846,NaN,2
4848,NaN,1
4850,NaN,1
4856,NaN,3
4858,NaN,1
4860,NaN,2
4864,NaN,1
4868,NaN,3
4870,10.0,3
4876,10.0,1
4878,NaN,1
4880,15.0,1
4894,NaN,3
4896,NaN,1
4898,NaN,1
4906,NaN,1
4910,NaN,2
4918,NaN,1
4922,15.0,2
4924,NaN,1
4926,NaN,1
4928,NaN,1
4930,NaN,1
4932,NaN,2
4936,NaN,1
4940,NaN,2
4946,NaN,1
4948,NaN,5
4952,NaN,2
4964,Subsidized Annual Pass,2
4972,NaN,2
4974,NaN,1
4978,NaN,2
4980,15.0,1
4988,NaN,1
4990,NaN,1
4992,NaN,1
4996,NaN,2
4998,NaN,2
5002,10.0,1
5004,NaN,1
5006,NaN,2
5008,NaN,3
5012,NaN,1
5014,NaN,1
5016,NaN,1
5018,NaN,3
5020,NaN,1
5022,NaN,1
5024,10.0,1
5030,10.0,1
5032,NaN,1
5038,NaN,2
5040,NaN,3
5042,NaN,2
5044,NaN,2
5046,NaN,2
5048,NaN,2
5052,NaN,1
5054,NaN,4
5058,NaN,1
5068,NaN,2
5074,NaN,2
5076,Subsidized Annual Pass,2
5080,NaN,4
5086,10.0,1
5088,NaN,1
5092,NaN,2
5100,10.0,1
5114,NaN,3
5116,NaN,1
5122,NaN,2
5136,NaN,1
5140,15.0,1
5152,NaN,2
5156,NaN,2
5158,NaN,2
