,RaceDesc,OverallJobAccess_D,lowwagelaborforce_D,Access30Transit_D,Access30Transit_ts_D,spatialmismatch_D,SAP,Agency,Language,stage,Age_bin,total_boardings
0,0,4,3,1,1,2,0,0,0,2,3,1.0
1,0,4,3,1,1,2,0,0,0,3,4,14.0
8,0,4,3,1,1,2,0,0,0,2,4,0.0
9,3,4,3,1,1,2,0,0,2,2,2,0.0
10,2,4,3,1,1,2,0,0,0,1,2,0.0
11,1,1,2,4,4,3,1,0,0,2,3,807.0
57,1,1,2,4,4,3,1,0,0,1,5,0.0
58,1,1,2,4,4,3,1,0,0,1,5,110.0
59,1,1,2,4,4,3,1,0,0,2,5,0.0
60,1,1,2,4,4,3,1,0,0,2,5,110.0
67,6,1,2,4,4,3,1,2,0,4,1,279.0
80,3,1,2,4,4,3,1,0,0,2,2,97.0
96,0,1,2,4,4,3,1,2,0,1,4,111.0
119,6,1,2,4,4,3,1,0,0,2,2,0.0
120,1,1,2,4,4,3,1,0,5,2,1,433.0
155,0,1,2,4,4,3,1,0,0,2,5,18.0
158,1,1,2,4,4,3,1,0,0,2,3,472.0
186,1,1,2,4,4,3,0,0,0,2,3,0.0
187,0,1,2,4,4,3,1,0,0,2,4,163.0
212,0,1,2,4,4,3,1,1,0,2,1,0.0
213,0,1,2,4,4,3,1,1,0,2,1,128.0
214,0,1,2,4,4,3,1,2,0,3,1,0.0
215,0,1,2,4,4,3,1,2,0,3,1,128.0
236,0,1,2,4,4,3,1,2,0,2,2,250.0
250,3,1,2,4,4,3,0,5,0,2,2,62.0
269,0,1,2,4,4,3,0,5,0,2,2,0.0
270,1,1,2,4,4,3,0,4,0,2,1,60.0
291,1,1,2,4,4,3,1,0,0,2,4,0.0
292,0,1,2,4,4,3,0,1,0,2,3,4.0
294,1,1,2,4,4,3,1,2,0,2,1,0.0
295,7,1,2,4,4,3,0,0,0,2,0,0.0
296,0,1,2,4,4,3,1,0,0,2,3,0.0
297,0,1,2,4,4,3,1,0,0,2,3,96.0
324,2,1,2,4,4,3,0,0,0,1,0,41.0
333,0,1,2,4,4,3,0,1,0,1,0,0.0
334,0,1,2,4,4,3,0,1,0,1,0,2.0
335,0,1,2,4,4,3,1,2,0,2,0,0.0
336,0,1,2,4,4,3,1,2,0,2,0,2.0
337,4,1,2,4,4,3,1,0,0,1,4,423.0
382,1,1,2,4,4,3,1,2,0,1,2,219.0
412,6,1,2,4,4,3,1,2,0,1,4,231.0
438,4,1,2,4,4,3,0,0,0,1,0,0.0
439,5,1,2,4,4,3,1,1,0,1,2,0.0
440,5,1,2,4,4,3,1,1,0,1,2,97.0
441,5,1,2,4,4,3,1,0,0,2,2,0.0
442,5,1,2,4,4,3,1,0,0,2,2,97.0
481,0,1,2,4,4,3,1,0,0,1,3,90.0
490,1,1,2,4,4,3,1,0,0,1,0,379.0
512,1,1,2,4,4,3,1,0,0,1,4,243.0
545,0,1,2,4,4,3,1,2,0,1,0,0.0
546,6,1,2,4,4,3,1,4,0,1,0,211.0
569,2,1,2,4,4,3,1,0,0,1,5,0.0
570,1,1,2,4,4,3,1,2,0,1,1,0.0
571,0,1,2,4,4,3,1,0,0,1,3,0.0
572,1,1,2,4,4,3,1,2,0,1,2,0.0
573,0,1,2,4,4,3,1,2,0,1,4,147.0
594,0,1,2,4,4,3,0,4,0,1,1,0.0
595,4,1,2,4,4,3,1,0,0,1,2,46.0
610,0,1,2,4,4,3,1,0,0,1,1,0.0
612,0,1,2,4,4,3,1,0,0,2,1,0.0
614,0,1,2,4,4,3,0,0,0,1,1,285.0
633,0,1,2,4,4,3,0,1,0,1,1,0.0
634,4,1,2,4,4,3,1,0,0,1,3,73.0
643,4,1,2,4,4,3,1,0,0,1,0,111.0
657,4,1,2,4,4,3,1,0,0,1,0,23.0
664,3,1,2,4,4,3,1,0,0,1,4,0.0
665,3,1,2,4,4,3,1,0,0,1,0,345.0
686,1,1,2,4,4,3,1,0,0,1,3,2.0
687,1,1,2,4,4,3,1,2,0,1,5,0.0
688,0,1,2,4,4,3,0,0,0,1,2,0.0
689,4,1,2,4,4,3,1,0,0,1,0,0.0
690,4,1,2,4,4,3,1,0,0,1,0,34.0
698,1,1,2,4,4,3,1,0,0,1,4,60.0
704,2,1,2,4,4,3,0,0,0,1,4,1.0
705,4,1,2,4,4,3,0,0,0,1,0,1.0
706,0,3,4,3,3,4,0,1,0,2,1,0.0
707,4,3,4,3,3,4,0,0,0,1,2,0.0
708,0,3,4,3,3,4,1,2,0,1,3,0.0
709,1,3,4,3,3,4,0,1,0,1,0,0.0
710,0,3,4,3,3,4,0,0,0,1,1,21.0
716,0,3,4,3,3,4,0,0,0,1,0,0.0
717,0,4,2,4,4,1,0,0,0,3,4,17.0
718,0,4,2,4,4,1,0,1,0,2,4,1.0
719,3,4,2,4,4,1,0,0,0,1,2,23.0
720,3,3,4,3,4,4,0,0,2,1,2,7.0
721,2,3,4,3,4,4,0,0,0,3,2,53.0
741,2,3,4,3,4,4,0,0,1,1,2,0.0
742,5,3,4,3,4,4,0,5,5,1,4,22.0
755,0,3,4,3,4,4,0,0,0,3,4,20.0
762,1,3,4,3,4,4,0,0,0,2,3,3.0
765,1,3,4,3,4,4,0,0,0,2,4,0.0
766,1,3,4,3,4,4,0,0,5,1,4,0.0
767,0,3,4,3,4,4,0,0,0,1,2,14.0
771,3,3,4,3,4,4,0,0,2,1,2,0.0
772,2,3,4,3,4,4,0,4,0,2,0,2.0
774,2,3,4,3,4,4,1,0,0,1,1,167.0
798,3,3,4,3,4,4,0,4,0,2,2,388.0
