,RaceDesc,Initial_Load,id,OverallJobAccess,lowwagelaborforce,Access30Transit,Access30Transit_ts,MSA,spatialmismatch,OverallJobAccess_quantileNum_4q,lowwagelaborforce_quantileNum_4q,Access30Transit_quantileNum_4q,Access30Transit_ts_quantileNum_4q,spatialmismatch_quantileNum_4q,OverallJobAccess_quantileNum_10q,lowwagelaborforce_quantileNum_10q,Access30Transit_quantileNum_10q,Access30Transit_ts_quantileNum_10q,spatialmismatch_quantileNum_10q,SAP,Agency,Language,Age_bin,count_enroll
20,0,2,110444,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,4,5
28,1,1,98538,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,3,4
42,1,1,123182,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,0,0,3,4
48,3,0,116504,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,3,0,4,4
52,1,0,232164,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,3,4
53,0,0,48458,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,0,4,4
64,0,1,97366,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,2,0,4,4
71,1,1,56262,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,4
82,1,1,147796,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,1,3,0,3,3
89,2,0,51332,2.245899438858032,708,1.4871835708618164,0.7213789820671082,Seattle,0.0833221301436424,3,3,3,3,2,8,8,9,9,5,0,0,5,3,3
