week,Community Transit,Everett Transit,King County Metro,Kitsap Transit,Pierce Transit,Sound Transit,card_id
2021-11-07,,,3.0,,,,224988-1
2021-11-28,,,,,,3.0,224988-1
2021-12-05,,,2.0,,,,224988-1
2021-12-12,,,1.0,,,,224988-1
2021-12-19,,,1.0,,,1.0,224988-1
2021-12-26,,,1.0,,,,224988-1
2022-01-09,,,1.0,,,,224988-1
2022-01-16,,,3.0,,,,224988-1
2022-01-30,,,3.0,,,,224988-1
2022-02-13,,,1.0,,,,224988-1
2022-03-06,,,2.0,,,,224988-1
2021-11-14,,,2.0,,,,198414-1
2022-02-06,,,10.0,,,,198424-1
2022-02-13,,,5.0,,,,198424-1
2022-02-20,,,6.0,,,,198424-1
2022-02-27,,,2.0,,,,198424-1
2021-11-07,,,6.0,,7.0,,198910-1
2021-11-14,,,9.0,,3.0,3.0,198910-1
2021-11-21,,,8.0,,5.0,2.0,198910-1
2021-11-28,,,5.0,,4.0,2.0,198910-1
2021-12-05,,,5.0,,5.0,2.0,198910-1
2021-12-12,,,6.0,,4.0,,198910-1
2021-12-19,,,7.0,,5.0,2.0,198910-1
2022-01-09,,,5.0,,5.0,1.0,198910-1
2022-01-16,,,8.0,,4.0,1.0,198910-1
2022-01-23,,,7.0,,4.0,1.0,198910-1
2022-01-30,,,6.0,,4.0,1.0,198910-1
2022-02-06,,,,,2.0,2.0,198910-1
2021-11-07,,,10.0,,,,198918-1
2021-11-14,,,4.0,,,,198918-1
2021-11-28,,,12.0,,,,198918-1
2021-12-05,,,2.0,,,,198918-1
2021-12-12,,,8.0,,,,198918-1
2021-12-19,,,12.0,,,,198918-1
2021-12-26,,,6.0,,,,198918-1
2022-01-02,,,2.0,,,1.0,198918-1
2022-01-09,,,12.0,,,,198918-1
2022-01-23,,,14.0,,,,198918-1
2022-01-30,,,5.0,,,,198918-1
2022-02-13,,,9.0,,,,198918-1
2022-02-20,,,5.0,,,,198918-1
2022-02-27,,,5.0,,,,198918-1
2021-11-07,,,2.0,,,1.0,202452-1
2021-11-14,,,5.0,,,3.0,202452-1
2021-11-21,,,4.0,,,4.0,202452-1
2021-11-28,,,4.0,,,3.0,202452-1
2021-12-05,,,3.0,,,3.0,202452-1
2021-12-12,,,9.0,,,6.0,202452-1
2021-12-19,,,3.0,,,1.0,202452-1
2022-01-09,,,12.0,,,7.0,202452-1
2022-01-16,,,16.0,,,6.0,202452-1
2022-01-23,,,17.0,,,11.0,202452-1
2022-01-30,,,17.0,,,12.0,202452-1
2022-02-06,,,5.0,,,2.0,202452-1
2022-02-13,,,3.0,,,1.0,202452-1
2022-01-16,,,,,,1.0,105846-2
2021-11-07,,,,,1.0,,190350-1
2022-01-23,,,2.0,,,2.0,190350-1
2022-01-30,,,1.0,,,2.0,190350-1
2022-02-06,,,3.0,,,3.0,190350-1
2021-12-12,,,8.0,,,,190810-1
2021-12-19,,,8.0,,,,190810-1
2021-12-26,,,10.0,,,,190810-1
2022-01-02,,,4.0,,,,190810-1
2022-02-06,,,9.0,,,,190810-1
2022-02-13,,,13.0,,,,190810-1
2022-02-20,,,6.0,,,1.0,190810-1
2022-02-27,,,9.0,,,,190810-1
2021-11-14,,,4.0,,,,191712-1
2021-11-21,,,5.0,,,2.0,191712-1
2021-11-28,,,3.0,,,,191712-1
2021-12-05,,,2.0,,,,191712-1
2021-11-07,1.0,1.0,,,,,192756-1
2021-11-14,,2.0,,,,,192756-1
2021-12-05,,6.0,,,,,192756-1
2021-12-12,,4.0,,,,,192756-1
2022-01-02,,2.0,,,,,192756-1
2022-01-09,3.0,3.0,3.0,,,1.0,192756-1
2022-01-16,,2.0,,,,,192756-1
2022-01-30,,5.0,,,,,192756-1
2022-02-06,,1.0,,,,,192756-1
2022-02-20,1.0,,,,,,192756-1
2022-02-27,,3.0,,,,,192756-1
