,RaceDesc,OverallJobAccess_quantileNum_4q,lowwagelaborforce_quantileNum_4q,Access30Transit_quantileNum_4q,Access30Transit_ts_quantileNum_4q,spatialmismatch_quantileNum_4q,OverallJobAccess_quantileNum_10q,lowwagelaborforce_quantileNum_10q,Access30Transit_quantileNum_10q,Access30Transit_ts_quantileNum_10q,spatialmismatch_quantileNum_10q,SAP,Agency,Language,Age_bin,total_boardings
0,2,3,3,3,3,2,8,8,9,9,5,1,3,0,2,0.0
1,1,3,3,3,3,2,8,8,9,9,5,0,5,0,2,19.0
4,1,3,3,3,3,2,8,8,9,9,5,0,4,0,3,0.0
5,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
6,1,3,3,3,3,2,8,8,9,9,5,1,3,0,2,0.0
7,0,3,3,3,3,2,8,8,9,9,5,0,3,0,4,0.0
8,4,3,3,3,3,2,8,8,9,9,5,1,3,0,1,0.0
9,4,3,3,3,3,2,8,8,9,9,5,0,1,0,3,0.0
10,1,3,3,3,3,2,8,8,9,9,5,1,2,0,3,388.0
38,1,3,3,3,3,2,8,8,9,9,5,1,0,0,2,200.0
55,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
56,1,3,3,3,3,2,8,8,9,9,5,1,0,0,3,647.0
87,3,3,3,3,3,2,8,8,9,9,5,0,3,0,4,0.0
88,1,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
89,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,7.0
90,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
91,6,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
92,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
93,0,3,3,3,3,2,8,8,9,9,5,1,2,0,4,0.0
94,0,3,3,3,3,2,8,8,9,9,5,1,3,0,1,0.0
95,1,3,3,3,3,2,8,8,9,9,5,1,3,0,3,46.0
113,0,3,3,3,3,2,8,8,9,9,5,0,4,5,3,31.0
117,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
118,0,3,3,3,3,2,8,8,9,9,5,1,2,0,1,0.0
119,1,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
120,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
121,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,130.0
125,0,3,3,3,3,2,8,8,9,9,5,0,0,0,2,2.0
126,6,3,3,3,3,2,8,8,9,9,5,1,2,0,3,0.0
127,0,3,3,3,3,2,8,8,9,9,5,1,0,0,4,430.0
163,0,3,3,3,3,2,8,8,9,9,5,0,3,0,3,0.0
164,1,3,3,3,3,2,8,8,9,9,5,0,4,0,3,67.0
169,0,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
170,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
171,4,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
172,0,3,3,3,3,2,8,8,9,9,5,1,3,0,1,0.0
173,1,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
174,3,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
175,3,3,3,3,3,2,8,8,9,9,5,1,3,0,3,0.0
176,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
177,1,3,3,3,3,2,8,8,9,9,5,1,0,0,3,183.0
189,0,3,3,3,3,2,8,8,9,9,5,0,4,0,3,538.0
216,8,3,3,3,3,2,8,8,9,9,5,0,0,0,3,3.0
218,7,3,3,3,3,2,8,8,9,9,5,0,1,0,2,57.0
227,1,3,3,3,3,2,8,8,9,9,5,0,0,5,2,0.0
228,0,3,3,3,3,2,8,8,9,9,5,0,0,0,4,10.0
234,1,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
235,1,3,3,3,3,2,8,8,9,9,5,1,0,0,3,48.0
240,1,3,3,3,3,2,8,8,9,9,5,0,1,0,3,0.0
241,0,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
242,1,3,3,3,3,2,8,8,9,9,5,0,0,0,4,0.0
243,1,3,3,3,3,2,8,8,9,9,5,0,1,0,2,0.0
244,3,3,3,3,3,2,8,8,9,9,5,0,3,0,3,6.0
246,4,3,3,3,3,2,8,8,9,9,5,0,3,0,4,0.0
247,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
248,1,3,3,3,3,2,8,8,9,9,5,1,3,0,4,117.0
271,6,3,3,3,3,2,8,8,9,9,5,0,5,0,4,34.0
273,1,3,3,3,3,2,8,8,9,9,5,0,5,0,3,0.0
274,0,3,3,3,3,2,8,8,9,9,5,0,0,0,3,0.0
275,1,3,3,3,3,2,8,8,9,9,5,0,0,0,2,0.0
276,1,3,3,3,3,2,8,8,9,9,5,1,2,0,4,47.0
287,1,3,3,3,3,2,8,8,9,9,5,0,0,0,4,1.0
288,0,3,3,3,3,2,8,8,9,9,5,0,5,0,1,0.0
289,0,3,3,3,3,2,8,8,9,9,5,0,4,0,4,0.0
290,3,3,3,3,3,2,8,8,9,9,5,1,3,2,4,260.0
298,1,3,3,3,3,2,8,8,9,9,5,0,0,0,1,0.0
299,0,3,3,3,3,2,8,8,9,9,5,0,4,0,1,0.0
300,1,3,3,3,3,2,8,8,9,9,5,1,3,0,1,1.0
301,1,3,3,3,3,2,8,8,9,9,5,0,0,0,3,13.0
305,0,3,3,3,3,2,8,8,9,9,5,0,3,0,1,0.0
306,4,3,3,3,3,2,8,8,9,9,5,1,2,0,4,0.0
307,2,3,3,3,3,2,8,8,9,9,5,0,4,0,0,304.0
