,RaceDesc,SAP,count_enroll,OverallJobAccess_quantileNum_4q,lowwagelaborforce_quantileNum_4q,Access30Transit_quantileNum_4q,Access30Transit_ts_quantileNum_4q,spatialmismatch_quantileNum_4q,Agency,Language,Age_bin
0,2,1,3,3,3,3,3,2,3,0,2
1,1,0,1,3,3,3,3,2,5,0,2
2,1,1,2,3,3,3,3,2,3,0,3
3,0,0,1,3,3,3,3,2,3,0,4
4,1,1,2,3,3,3,3,2,3,0,2
5,0,1,1,3,3,3,3,2,3,0,3
6,1,0,3,3,3,3,3,2,0,0,3
7,1,1,4,3,3,3,3,2,0,0,4
8,0,1,1,3,3,3,3,2,3,5,5
9,1,1,2,3,3,3,3,2,3,0,3
10,1,1,2,3,3,3,3,2,2,0,2
11,0,1,3,3,3,3,3,2,3,0,4
12,1,1,3,3,3,3,3,2,0,0,0
13,1,0,1,3,3,3,3,2,4,0,3
14,0,1,2,3,3,3,3,2,2,0,4
15,0,0,1,3,3,3,3,2,0,0,4
16,1,1,2,3,3,3,3,2,0,0,4
17,1,1,3,3,3,3,3,2,0,0,2
18,3,1,2,3,3,3,3,2,3,0,2
19,6,1,4,3,3,3,3,2,0,0,2
20,0,0,3,3,3,3,3,2,4,0,2
21,4,1,2,3,3,3,3,2,3,0,2
22,1,0,3,3,3,3,3,2,0,0,3
23,0,1,3,3,3,3,3,2,0,0,4
24,1,1,1,3,3,3,3,2,0,0,2
25,1,1,2,3,3,3,3,2,3,0,4
26,6,1,3,3,3,3,3,2,3,0,4
27,1,1,2,3,3,3,3,2,0,0,4
28,0,1,1,3,3,3,3,2,3,0,1
29,1,1,1,3,3,3,3,2,3,0,4
30,1,1,1,3,3,3,3,2,0,0,3
31,0,0,3,3,3,3,3,2,1,0,4
32,1,1,2,3,3,3,3,2,0,0,3
33,4,0,1,3,3,3,3,2,1,0,3
34,0,1,2,3,3,3,3,2,3,0,3
35,6,0,2,3,3,3,3,2,0,0,4
36,6,1,2,3,3,3,3,2,2,0,3
37,0,1,2,3,3,3,3,2,3,0,4
38,0,1,2,3,3,3,3,2,3,0,1
39,0,1,2,3,3,3,3,2,3,0,1
40,1,1,1,3,3,3,3,2,2,0,3
41,6,1,3,3,3,3,3,2,3,0,3
42,0,1,1,3,3,3,3,2,3,0,3
43,0,0,2,3,3,3,3,2,3,0,4
44,1,0,3,3,3,3,3,2,0,0,3
45,0,1,2,3,3,3,3,2,2,0,4
46,0,1,2,3,3,3,3,2,0,0,2
47,7,1,1,3,3,3,3,2,3,0,3
48,6,1,3,3,3,3,3,2,0,0,2
49,0,1,2,3,3,3,3,2,3,0,3
50,0,0,1,3,3,3,3,2,0,0,4
51,1,1,2,3,3,3,3,2,3,0,3
52,1,1,2,3,3,3,3,2,3,0,3
53,1,0,2,3,3,3,3,2,3,0,2
54,4,1,1,3,3,3,3,2,3,0,1
55,3,0,1,3,3,3,3,2,3,0,4
56,1,0,2,3,3,3,3,2,0,0,4
57,3,1,1,3,3,3,3,2,3,0,3
58,0,1,3,3,3,3,3,2,3,0,2
59,0,1,4,3,3,3,3,2,0,0,5
60,0,0,3,3,3,3,3,2,0,0,3
